season,position_group,passing_yards_min,passing_yards_max,passing_yards_p10,passing_yards_p25,passing_yards_p50,passing_yards_p75,passing_yards_p90,passing_tds_min,passing_tds_max,passing_tds_p10,passing_tds_p25,passing_tds_p50,passing_tds_p75,passing_tds_p90,interceptions_min,interceptions_max,interceptions_p10,interceptions_p25,interceptions_p50,interceptions_p75,interceptions_p90,rushing_yards_min,rushing_yards_max,rushing_yards_p10,rushing_yards_p25,rushing_yards_p50,rushing_yards_p75,rushing_yards_p90,rushing_tds_min,rushing_tds_max,rushing_tds_p10,rushing_tds_p25,rushing_tds_p50,rushing_tds_p75,rushing_tds_p90,receiving_yards_min,receiving_yards_max,receiving_yards_p10,receiving_yards_p25,receiving_yards_p50,receiving_yards_p75,receiving_yards_p90,receiving_tds_min,receiving_tds_max,receiving_tds_p10,receiving_tds_p25,receiving_tds_p50,receiving_tds_p75,receiving_tds_p90,fantasy_points_min,fantasy_points_max,fantasy_points_p10,fantasy_points_p25,fantasy_points_p50,fantasy_points_p75,fantasy_points_p90,fantasy_points_ppr_min,fantasy_points_ppr_max,fantasy_points_ppr_p10,fantasy_points_ppr_p25,fantasy_points_ppr_p50,fantasy_points_ppr_p75,fantasy_points_ppr_p90
2023,RB,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1459.0,1.5,23.0,135.0,499.25,953.5,0.0,18.0,0.0,0.0,1.0,3.0,6.5,-2.0,591.0,0.0,13.0,52.0,189.0,314.5,0.0,7.0,0.0,0.0,0.0,1.0,2.0,-1.2,324.3,1.15,6.025,25.299999999999997,97.15,170.15,-0.2,391.3,2.1500000000000004,9.875,37.349999999999994,122.825,210.2
2023,SPEC,0.0,28.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,10.0,-11.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,2.0,-2.8200000000000003,-1.15,0.44,0.86,1.12,-3.1,2.0,-2.8200000000000003,-1.15,0.44,0.86,1.12
2023,TE,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-10.0,1020.0,12.0,37.5,153.0,352.75,628.0,0.0,10.0,0.0,0.0,1.0,2.0,4.0,-1.0,153.3,1.2,6.0249999999999995,21.1,44.5,87.35,0.0,239.3,2.6500000000000004,10.75,34.900000000000006,77.225,140.41000000000003
2023,WR,-7.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.0,225.0,0.0,0.0,0.0,11.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,10.600000000000001,64.0,232.0,581.0,1031.2,0.0,13.0,0.0,0.0,1.0,4.0,7.0,-2.0,270.2,1.6600000000000001,10.1,32.5,77.8,146.12,-1.0,405.20000000000005,3.700000000000001,17.700000000000003,52.7,128.8,222.22000000000003
2024,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,21.0,0.0,0.0,0.0,2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,6.4,0.0,0.0,0.6,6.0,6.0,-0.2,7.4,0.0,0.0,0.6,6.0,6.0
2024,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.2,6.2,6.2,6.2,6.2,6.2,6.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
2024,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,17.0,27.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,0.76,1.75,3.4,4.7,5.48,0.1,6.0,0.9600000000000002,2.25,4.4,5.2,5.68
2024,OL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,4.0,5.800000000000001,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.9,0.0,0.0,0.5,6.1,6.5,0.0,7.9,0.0,1.0,1.5,7.1,7.5
2024,QB,0.0,4918.0,23.000000000000004,193.0,1106.0,2885.0,3875.4,0.0,43.0,0.0,0.5,5.0,18.0,26.400000000000006,0.0,16.0,0.0,0.0,4.0,9.0,12.0,-7.0,915.0,0.0,5.0,54.0,192.0,422.8,0.0,14.0,0.0,0.0,0.0,2.0,4.200000000000003,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.08,430.38,0.776,11.16,76.72,188.3,309.392,-2.08,430.38,0.776,11.16,76.72,188.3,309.392
2024,RB,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2005.0,6.700000000000001,31.0,178.0,508.75,1009.6999999999999,0.0,16.0,0.0,0.0,1.0,4.0,8.0,-4.0,592.0,0.0,11.0,59.0,188.5,341.1,0.0,6.0,0.0,0.0,0.0,1.0,2.0,-2.0,322.3,0.99,7.15,30.15,92.7,191.26999999999995,-2.0,355.3,1.89,9.55,37.3,124.925,240.97
